id,station_id,city_slug,district_slug,address_en,title,provider,external_id,sensor_type,latitude,longitude,altitude,first_measurement_time,last_measurement_time,is_suspicious
2,1,yerevan,nor-nork,Bagrevand,"Engineering City (ArmAqi.org)",sensor_community,80681,SDS011,40.200000,44.582000,1373.10,"2023-06-01 04:00:00","2025-09-16 12:11:45",false
3,1,yerevan,nor-nork,Bagrevand,"Engineering City (ArmAqi.org)",sensor_community,80682,BME280,40.200000,44.582000,1373.10,"2023-05-08 19:00:00","2025-09-16 12:11:45",false
4,2,yerevan,kentron,"Dzorap street","Dzorapi street (ArmAqi.org)",sensor_community,80868,SDS011,40.182000,44.498000,1001.40,"2023-06-01 04:00:00","2025-09-13 00:05:59",false
5,2,yerevan,kentron,"Dzorap street","Dzorapi street (ArmAqi.org)",sensor_community,80869,BME280,40.182000,44.498000,1001.40,"2023-05-21 01:00:00","2025-09-13 00:05:58",false
7,3,yerevan,davtashen,"2nd quarter","Davidashen 2nd block (ArmAqi.org)",sensor_community,82926,SDS011,40.224000,44.492000,1132.30,"2023-09-08 19:00:00","2025-09-16 12:13:05",false
8,3,yerevan,davtashen,"2nd quarter","Davidashen 2nd block (ArmAqi.org)",sensor_community,82927,BME280,40.224000,44.492000,1132.30,"2023-09-08 19:00:00","2025-09-16 12:13:05",false
9,4,yerevan,arabkir,"Aygektsi street","Aygektci street (ArmAqi.org)",sensor_community,83115,SDS011,40.206000,44.498000,927.60,"2023-09-25 15:00:00","2025-03-24 21:45:20",false
10,4,yerevan,arabkir,"Aygektsi street","Aygektci street (ArmAqi.org)",sensor_community,83116,BME280,40.206000,44.498000,927.60,"2023-09-25 15:00:00","2025-03-24 21:45:20",false
11,,,,,"Chekhov street (ArmAqi.org)",sensor_community,83131,SDS011,40.176576,44.504440,981.70,"2023-09-26 17:00:00","2025-09-16 12:12:19",true
12,,,,,"Chekhov street (ArmAqi.org)",sensor_community,83132,BME280,40.176576,44.504440,981.70,"2023-09-26 17:00:00","2025-09-16 12:12:19",true
13,6,gyumri,,"Shirakatsi Street","Shirakatsi street (ArmAqi.org)",sensor_community,83495,SDS011,40.794000,43.836000,1551.90,"2023-10-17 18:00:00","2025-09-16 12:14:15",false
14,6,gyumri,,"Shirakatsi Street","Shirakatsi street (ArmAqi.org)",sensor_community,83496,BME280,40.794000,43.836000,1551.90,"2023-10-17 18:00:00","2025-09-16 12:14:16",false
15,7,yerevan,arabkir,"st. Hayrik Muradyan","Hayrik Muradyan street (ArmAqi.org)",sensor_community,84319,SDS011,40.203215,44.515569,1162.70,"2023-11-28 13:00:00","2025-09-16 12:13:20",false
16,7,yerevan,arabkir,"st. Hayrik Muradyan","Hayrik Muradyan street (ArmAqi.org)",sensor_community,84320,BME280,40.203215,44.515569,1162.70,"2023-11-29 10:00:00","2025-09-16 12:13:21",false
17,8,yerevan,kanaker-zeytun,"Shovroyan street","Shovroyan street (ArmAqi.org)",sensor_community,84664,SDS011,40.200708,44.547009,1259.50,"2023-12-12 14:00:00","2025-08-15 07:15:45",false
18,8,yerevan,kanaker-zeytun,"Shovroyan street","Shovroyan street (ArmAqi.org)",sensor_community,84665,BME280,40.200708,44.547009,1259.50,"2023-12-12 14:00:00","2025-08-15 07:15:45",true
19,9,yerevan,kanaker-zeytun,"Hrachya Nersisyan street","Hrachya Nersisyan Street (ArmAqi.org)",sensor_community,84695,SDS011,40.204000,44.532000,1213.10,"2023-12-13 21:00:00","2025-03-15 04:10:56",false
20,9,yerevan,kanaker-zeytun,"Hrachya Nersisyan street","Hrachya Nersisyan Street (ArmAqi.org)",sensor_community,84696,BME280,40.204000,44.532000,1213.10,"2023-12-13 21:00:00","2025-03-15 04:56:22",false
21,,,,,"Gevorg Chaush street (ArmAqi.org)",sensor_community,84847,SDS011,40.202596,44.491078,1089.70,"2023-12-21 05:00:00","2025-09-16 12:12:28",false
22,,,,,"Gevorg Chaush street (ArmAqi.org)",sensor_community,84848,BME280,40.202596,44.491078,1089.70,"2023-12-21 05:00:00","2025-09-16 12:12:29",false
23,11,yerevan,shengavit,"Garegin Nzhdeh street","Garegin Nzhdeh Street (ArmAqi.org)",sensor_community,85218,SDS011,40.152000,44.490000,927.90,"2024-01-09 21:00:00","2025-09-16 12:11:54",false
24,12,yerevan,arabkir,"Keru street","Qeri street (ArmAqi.org)",sensor_community,85546,SDS011,40.201493,44.487354,1074.20,"2024-01-22 23:00:00","2025-03-15 04:27:45",false
25,12,yerevan,arabkir,"Keru street","Qeri street (ArmAqi.org)",sensor_community,85547,BME280,40.201493,44.487354,1074.20,"2024-01-22 23:00:00","2025-03-15 04:27:46",false
26,13,gyumri,,"Hovhannes Shiraz Street","Hovhannes Shiraz 1st backstreet (ArmAqi.org)",sensor_community,85809,SDS011,40.788000,43.842000,1526.90,"2024-02-03 12:00:00","2025-09-16 12:12:28",false
27,14,yerevan,kanaker-zeytun,"Babayan street","Green Green Ecocenter (ArmAqi.org)",sensor_community,86195,SDS011,40.198069,44.520984,1137.10,"2024-02-23 17:00:00","2025-03-15 04:43:13",false
28,14,yerevan,kanaker-zeytun,"Babayan street","Green Green Ecocenter (ArmAqi.org)",sensor_community,86196,BME280,40.198069,44.520984,1137.10,"2024-02-23 17:00:00","2025-03-15 04:40:20",false
29,15,vanadzor,,"Nersisyan Lane","Nersisyan lane (ArmAqi.org)",sensor_community,86292,SDS011,40.797236,44.512433,1382.00,"2024-02-28 19:00:00","2025-09-16 12:13:50",false
30,16,vanadzor,,"Myasnikyan Street","Myasnikyan street (ArmAqi.org)",sensor_community,86333,SDS011,40.802651,44.487345,1367.50,"2024-03-01 22:00:00","2025-09-16 12:13:41",false
31,16,vanadzor,,"Myasnikyan Street","Myasnikyan street (ArmAqi.org)",sensor_community,86334,BME280,40.802651,44.487345,1367.50,"2024-03-01 22:00:00","2025-09-16 12:13:41",false
32,17,yerevan,malatia-sebastia,"Sebastia street","Sebastia street (ArmAqi.org)",sensor_community,86420,SDS011,40.188522,44.463030,1013.00,"2024-03-07 16:00:00","2025-04-09 15:57:32",false
33,17,yerevan,malatia-sebastia,"Sebastia street","Sebastia street (ArmAqi.org)",sensor_community,86421,BME280,40.188522,44.463030,1013.00,"2024-03-07 16:00:00","2025-04-09 15:57:33",false
34,18,yerevan,kentron,"Adana street","Adana street (ArmAqi.org)",sensor_community,87542,SDS011,40.173888,44.491450,981.40,"2024-05-01 18:00:00","2025-07-31 23:40:43",false
35,18,yerevan,kentron,"Adana street","Adana street (ArmAqi.org)",sensor_community,87543,BME280,40.173888,44.491450,981.40,"2024-05-01 18:00:00","2025-07-31 23:40:44",false
36,19,yerevan,arabkir,"Adonts street","Nikoghayos Adonts street (ArmAqi.org)",sensor_community,88230,SDS011,40.213376,44.524329,1211.50,"2024-06-08 18:00:00","2025-06-14 12:27:33",false
37,19,yerevan,arabkir,"Adonts street","Nikoghayos Adonts street (ArmAqi.org)",sensor_community,88231,BME280,40.213376,44.524329,1211.50,"2024-06-08 18:00:00","2025-06-14 12:27:34",false
38,20,gyumri,,"Aghasi Khanjyan Street","Khanjyan street (ArmAqi.org)",sensor_community,89708,SDS011,40.806000,43.854000,1563.00,"2024-10-23 14:00:00","2025-03-30 11:39:33",false
39,21,yerevan,kentron,Kond,"Kond (ArmAqi.org)",sensor_community,90711,SDS011,40.184000,44.504000,1009.00,"2024-12-16 21:00:00","2025-03-15 04:53:55",false
40,21,yerevan,kentron,Kond,"Kond (ArmAqi.org)",sensor_community,90712,BME280,40.184000,44.504000,1009.00,"2024-12-16 21:00:00","2025-03-15 04:48:06",false
41,28,yerevan,avan,Kuchak,"1/4 Alma-Ata street, Yerevan, Armenia",clarity,DACWA9824,CLARITY,40.218822,44.576525,,"2024-03-26 04:00:00","2025-09-16 12:00:00",false
42,29,yerevan,kanaker-zeytun,"Dro street, 13/1","13/1 Dro street, Yerevan, Armenia",clarity,DADDF8497,CLARITY,40.203692,44.540715,,"2024-04-16 18:00:00","2025-09-16 12:00:00",false
43,30,yerevan,malatia-sebastia,"Tsitsernakaberd highway, 1..4","3 Tsitsernakaberd street, Yerevan, Armenia",clarity,DBJGM2682,CLARITY,40.182333,44.480884,,"2024-06-12 04:00:00","2025-09-16 12:00:00",false
44,53,yerevan,nork-marash,"Aytsemnik Urartu Street, 82/5","82/5 Aytsemnik Urartu street, Yerevan, Armenia",clarity,DCBEG1774,CLARITY,40.177851,44.542843,,"2024-07-12 17:00:00","2025-09-16 12:00:00",false
45,43,yerevan,nor-nork,"Nansen Street, 24","24 Nansen street, Yerevan, Armenia",clarity,DCIKP1594,CLARITY,40.197623,44.556469,,"2024-06-18 17:00:00","2025-09-16 12:00:00",false
