timestamp_utc,Mashtots_Ave_RepSq_to_HrazdanGorge,Komitas_Ave_Barekamutyun_to_Arabkir,TigranMets_RepSq_to_Shengavit,Halabyan_Alabyan_Barekamutyun_to_Achapnyak,Miasnikyan_Kentron_to_NorNork,Arshakunyats_Center_to_ShengavitIndustrial,Kievyan_Bridge_Crossing,Victory_Bridge_Crossing
2025-09-19T11:20:43.342947+00:00,"[1.636, 828, 506, 2689]","[1.013, 462, 456, 2169]","[2.429, 804, 331, 1672]","[1.603, 837, 522, 3341]","[1.114, 769, 690, 4636]","[1.365, 890, 652, 4402]","[1.252, 333, 266, 776]","[1.091, 841, 771, 5508]"
2025-09-19T11:20:43.340337+00:00,"[1.636, 828, 506, 2689]","[1.013, 462, 456, 2169]","[2.429, 804, 331, 1672]","[1.603, 837, 522, 3341]","[1.114, 769, 690, 4636]","[1.365, 890, 652, 4402]","[1.252, 333, 266, 776]","[1.091, 841, 771, 5508]"
2025-09-19T11:21:43.340475+00:00,"[2.024, 1024, 506, 2689]","[0.993, 453, 456, 2169]","[2.456, 813, 331, 1672]","[1.628, 850, 522, 3341]","[1.181, 815, 690, 4636]","[1.342, 875, 652, 4402]","[1.297, 345, 266, 776]","[1.195, 921, 771, 5508]"
2025-09-19T11:22:43.340618+00:00,"[2.038, 1031, 506, 2689]","[1.037, 473, 456, 2169]","[2.447, 810, 331, 1672]","[1.663, 868, 522, 3341]","[1.167, 805, 690, 4636]","[1.337, 872, 652, 4402]","[1.192, 317, 266, 776]","[1.122, 865, 771, 5508]"
2025-09-19T11:23:43.340748+00:00,"[1.709, 865, 506, 2689]","[1.022, 466, 456, 2169]","[2.372, 785, 331, 1672]","[1.678, 876, 522, 3341]","[1.129, 779, 690, 4636]","[1.351, 881, 652, 4402]","[1.199, 319, 266, 776]","[1.152, 888, 771, 5508]"
2025-09-19T11:24:43.340874+00:00,"[1.447, 732, 506, 2689]","[1.029, 469, 456, 2169]","[2.45, 811, 331, 1672]","[1.68, 877, 522, 3341]","[1.148, 792, 690, 4636]","[1.445, 942, 652, 4402]","[1.199, 319, 266, 776]","[1.31, 905, 691, 3308]"
2025-09-19T11:25:43.341012+00:00,"[1.443, 730, 506, 2689]","[1.039, 474, 456, 2169]","[2.441, 808, 331, 1672]","[1.667, 870, 522, 3341]","[1.18, 814, 690, 4636]","[1.305, 903, 692, 5016]","[1.207, 321, 266, 776]","[1.143, 881, 771, 5508]"
2025-09-19T11:26:43.341110+00:00,"[1.336, 676, 506, 2689]","[1.031, 470, 456, 2169]","[2.356, 780, 331, 1672]","[1.642, 857, 522, 3341]","[1.139, 786, 690, 4636]","[1.293, 895, 692, 5016]","[1.192, 317, 266, 776]","[1.41, 974, 691, 3308]"
2025-09-19T11:27:43.341223+00:00,"[1.385, 701, 506, 2689]","[1.011, 461, 456, 2169]","[2.477, 820, 331, 1672]","[1.521, 794, 522, 3341]","[1.161, 801, 690, 4636]","[1.311, 907, 692, 5016]","[1.18, 314, 266, 776]","[1.179, 909, 771, 5508]"
2025-09-19T11:28:43.341352+00:00,"[1.385, 701, 506, 2689]","[1.064, 485, 456, 2169]","[2.405, 796, 331, 1672]","[1.45, 757, 522, 3341]","[1.168, 806, 690, 4636]","[1.28, 886, 692, 5016]","[1.192, 317, 266, 776]","[1.353, 935, 691, 3308]"
2025-09-19T11:29:43.343057+00:00,"[1.385, 701, 506, 2689]","[1.075, 490, 456, 2169]","[2.341, 775, 331, 1672]","[1.554, 811, 522, 3341]","[1.142, 788, 690, 4636]","[1.328, 919, 692, 5016]","[1.098, 292, 266, 776]","[1.365, 943, 691, 3308]"
2025-09-19T11:30:43.343179+00:00,"[1.356, 686, 506, 2689]","[1.083, 494, 456, 2169]","[2.372, 785, 331, 1672]","[1.571, 820, 522, 3341]","[1.075, 742, 690, 4636]","[1.347, 932, 692, 5016]","[1.094, 291, 266, 776]","[1.175, 906, 771, 5508]"
2025-09-19T11:31:43.343302+00:00,"[1.298, 657, 506, 2689]","[1.068, 487, 456, 2169]","[2.35, 778, 331, 1672]","[1.577, 823, 522, 3341]","[1.083, 747, 690, 4636]","[1.358, 940, 692, 5016]","[1.128, 300, 266, 776]","[1.347, 931, 691, 3308]"
2025-09-19T11:32:43.343411+00:00,"[1.247, 631, 506, 2689]","[1.086, 495, 456, 2169]","[2.384, 789, 331, 1672]","[1.603, 837, 522, 3341]","[1.084, 748, 690, 4636]","[1.393, 908, 652, 4402]","[1.165, 310, 266, 776]","[1.165, 898, 771, 5508]"
2025-09-19T11:33:43.343526+00:00,"[1.204, 609, 506, 2689]","[1.075, 490, 456, 2169]","[2.245, 743, 331, 1672]","[1.774, 926, 522, 3341]","[1.081, 746, 690, 4636]","[1.382, 901, 652, 4402]","[1.12, 298, 266, 776]","[1.353, 935, 691, 3308]"
2025-09-19T11:34:43.343655+00:00,"[1.227, 621, 506, 2689]","[1.081, 493, 456, 2169]","[2.257, 747, 331, 1672]","[1.755, 916, 522, 3341]","[1.078, 744, 690, 4636]","[1.374, 896, 652, 4402]","[1.132, 301, 266, 776]","[1.311, 906, 691, 3308]"
2025-09-19T11:35:43.343928+00:00,"[1.265, 640, 506, 2689]","[1.07, 488, 456, 2169]","[2.199, 728, 331, 1672]","[1.789, 934, 522, 3341]","[1.087, 750, 690, 4636]","[1.373, 895, 652, 4402]","[1.128, 300, 266, 776]","[1.321, 913, 691, 3308]"
2025-09-19T11:36:43.344065+00:00,"[1.277, 646, 506, 2689]","[1.07, 488, 456, 2169]","[2.233, 739, 331, 1672]","[1.872, 977, 522, 3341]","[1.084, 748, 690, 4636]","[1.368, 892, 652, 4402]","[1.18, 314, 266, 776]","[1.34, 926, 691, 3308]"
2025-09-19T11:37:43.344189+00:00,"[1.275, 645, 506, 2689]","[1.057, 482, 456, 2169]","[2.236, 740, 331, 1672]","[1.904, 994, 522, 3341]","[1.096, 756, 690, 4636]","[1.377, 898, 652, 4402]","[1.312, 349, 266, 776]","[1.297, 896, 691, 3308]"
2025-09-19T11:38:43.344315+00:00,"[1.273, 644, 506, 2689]","[1.037, 473, 456, 2169]","[2.272, 752, 331, 1672]","[1.807, 943, 522, 3341]","[1.086, 749, 690, 4636]","[1.373, 895, 652, 4402]","[1.293, 344, 266, 776]","[1.298, 897, 691, 3308]"
2025-09-19T11:39:43.344509+00:00,"[1.285, 650, 506, 2689]","[1.033, 471, 456, 2169]","[2.16, 715, 331, 1672]","[1.904, 994, 522, 3341]","[1.129, 779, 690, 4636]","[1.362, 888, 652, 4402]","[1.327, 353, 266, 776]","[1.184, 818, 691, 3308]"
2025-09-19T11:40:43.344621+00:00,"[1.267, 641, 506, 2689]","[1.037, 473, 456, 2169]","[2.148, 711, 331, 1672]","[1.875, 979, 522, 3341]","[1.129, 779, 690, 4636]","[1.393, 908, 652, 4402]","[1.312, 349, 266, 776]","[1.172, 810, 691, 3308]"
2025-09-19T11:41:43.344754+00:00,"[1.243, 629, 506, 2689]","[1.044, 476, 456, 2169]","[2.142, 709, 331, 1672]","[1.879, 981, 522, 3341]","[1.126, 777, 690, 4636]","[1.391, 907, 652, 4402]","[1.323, 352, 266, 776]","[1.166, 806, 691, 3308]"
2025-09-19T11:42:43.344875+00:00,"[1.259, 637, 506, 2689]","[1.031, 470, 456, 2169]","[2.033, 673, 331, 1672]","[1.895, 989, 522, 3341]","[1.109, 765, 690, 4636]","[1.406, 917, 652, 4402]","[1.305, 347, 266, 776]","[1.145, 791, 691, 3308]"
2025-09-19T11:43:43.345014+00:00,"[1.239, 627, 506, 2689]","[1.094, 499, 456, 2169]","[2.115, 700, 331, 1672]","[1.898, 991, 522, 3341]","[1.122, 774, 690, 4636]","[1.38, 900, 652, 4402]","[1.323, 352, 266, 776]","[1.177, 813, 691, 3308]"
2025-09-19T11:44:43.345072+00:00,"[1.14, 577, 506, 2689]","[1.081, 493, 456, 2169]","[2.073, 686, 331, 1672]","[1.952, 1019, 522, 3341]","[1.345, 757, 563, 4204]","[1.429, 932, 652, 4402]","[1.308, 348, 266, 776]","[1.166, 806, 691, 3308]"
2025-09-19T11:45:43.345191+00:00,"[1.13, 572, 506, 2689]","[1.079, 492, 456, 2169]","[2.184, 723, 331, 1672]","[1.914, 999, 522, 3341]","[1.38, 777, 563, 4204]","[1.443, 941, 652, 4402]","[1.335, 355, 266, 776]","[0.968, 669, 691, 3308]"
2025-09-19T11:46:43.345311+00:00,"[1.206, 610, 506, 2689]","[1.088, 496, 456, 2169]","[2.085, 690, 331, 1672]","[1.875, 979, 522, 3341]","[1.133, 782, 690, 4636]","[1.422, 927, 652, 4402]","[1.331, 354, 266, 776]","[1.007, 696, 691, 3308]"
2025-09-19T11:47:43.345466+00:00,"[1.211, 613, 506, 2689]","[1.092, 498, 456, 2169]","[2.091, 692, 331, 1672]","[1.795, 937, 522, 3341]","[1.128, 778, 690, 4636]","[1.4, 913, 652, 4402]","[1.301, 346, 266, 776]","[1.042, 720, 691, 3308]"
2025-09-19T11:48:43.345600+00:00,"[1.277, 646, 506, 2689]","[1.099, 501, 456, 2169]","[2.051, 679, 331, 1672]","[1.755, 916, 522, 3341]","[1.129, 779, 690, 4636]","[1.402, 914, 652, 4402]","[1.293, 344, 266, 776]","[1.068, 738, 691, 3308]"
2025-09-19T11:49:43.345892+00:00,"[1.255, 635, 506, 2689]","[1.081, 493, 456, 2169]","[2.118, 701, 331, 1672]","[1.563, 816, 522, 3341]","[1.136, 784, 690, 4636]","[1.379, 899, 652, 4402]","[1.312, 349, 266, 776]","[1.104, 763, 691, 3308]"
2025-09-19T11:50:43.346019+00:00,"[1.251, 633, 506, 2689]","[1.09, 497, 456, 2169]","[2.073, 686, 331, 1672]","[1.529, 798, 522, 3341]","[1.109, 765, 690, 4636]","[1.382, 901, 652, 4402]","[1.293, 344, 266, 776]","[1.097, 758, 691, 3308]"
2025-09-19T11:51:43.346061+00:00,"[1.255, 635, 506, 2689]","[1.099, 501, 456, 2169]","[2.039, 675, 331, 1672]","[1.619, 845, 522, 3341]","[1.129, 779, 690, 4636]","[1.422, 927, 652, 4402]","[1.342, 357, 266, 776]","[1.13, 781, 691, 3308]"
2025-09-19T11:52:43.346187+00:00,"[1.223, 619, 506, 2689]","[1.092, 498, 456, 2169]","[1.97, 652, 331, 1672]","[1.441, 752, 522, 3341]","[1.128, 778, 690, 4636]","[1.426, 930, 652, 4402]","[1.395, 371, 266, 776]","[1.123, 776, 691, 3308]"
2025-09-19T11:53:43.346293+00:00,"[1.251, 633, 506, 2689]","[1.219, 556, 456, 2169]","[1.979, 655, 331, 1672]","[1.473, 769, 522, 3341]","[1.107, 764, 690, 4636]","[1.422, 984, 692, 5016]","[1.455, 387, 266, 776]","[1.116, 771, 691, 3308]"
2025-09-19T11:54:43.346542+00:00,"[1.16, 587, 506, 2689]","[1.268, 578, 456, 2169]","[1.894, 627, 331, 1672]","[1.517, 792, 522, 3341]","[1.112, 767, 690, 4636]","[1.532, 999, 652, 4402]","[1.255, 349, 278, 900]","[1.201, 830, 691, 3308]"
