"route_id","length_km","travel_min","abs_err_min","pct_err","pop_covered","route_wkt","start_lat","start_lon","end_lat","end_lon","wp1_lat","wp1_lon","wp2_lat","wp2_lon","wp3_lat","wp3_lon","wp4_lat","wp4_lon","wp5_lat","wp5_lon","wp6_lat","wp6_lon","wp7_lat","wp7_lon","wp8_lat","wp8_lon","wp9_lat","wp9_lon"
1,3.127,6.25,5.661,90.53,88,"LINESTRING (44.51884 40.15465, 44.51869 40.15466, 44.51772 40.15471, 44.5167 40.15477, 44.51659 40.15478, 44.51557 40.15483, 44.51552 40.15484, 44.5147 40.15489, 44.5146 40.15489, 44.51454 40.15489, 44.5144 40.1549, 44.51432 40.1549, 44.51332 40.15496, 44.51283 40.15499, 44.51217 40.15502, 44.51197 40.15503, 44.51144 40.15507, 44.51122 40.15507, 44.51097 40.15508, 44.51081 40.15509, 44.51073 40.1551, 44.51038 40.15512, 44.51044 40.15556, 44.51049 40.15573, 44.51052 40.15583, 44.51099 40.15715, 44.51122 40.15779, 44.51125 40.15789, 44.51151 40.1586, 44.5119 40.15967, 44.51205 40.16005, 44.51211 40.1602, 44.51214 40.16032, 44.5127 40.16191, 44.51289 40.16237, 44.51293 40.16248, 44.51294 40.16266, 44.51294 40.16268, 44.51298 40.16312, 44.513 40.16341, 44.51302 40.16354, 44.51315 40.16496, 44.51316 40.16511, 44.51327 40.16514, 44.51346 40.16518, 44.51445 40.16541, 44.51503 40.16554, 44.51514 40.16557, 44.51519 40.16559, 44.51533 40.16563, 44.51556 40.16568, 44.51599 40.16577, 44.51634 40.16586, 44.51694 40.166, 44.51724 40.16607, 44.51733 40.16609, 44.51779 40.1662, 44.51787 40.16621, 44.51839 40.16634, 44.51848 40.16636, 44.51967 40.16664, 44.51978 40.16666, 44.52102 40.16697, 44.52116 40.167, 44.52226 40.16726, 44.52239 40.16729, 44.52237 40.1674, 44.52233 40.1676, 44.52221 40.1683, 44.52216 40.16862, 44.52214 40.16871, 44.52211 40.1689, 44.52205 40.16931, 44.52202 40.16948, 44.52195 40.16993, 44.52181 40.17098, 44.52177 40.17125)",40.154646,44.51884,40.171254,44.521769,40.154858,44.515179,40.155062,44.511518,40.157008,44.51094,40.159722,44.511922,40.162434,44.512914,40.165148,44.51333,40.165973,44.51684,40.166802,44.520349,40.168456,44.522184
2,3.178,6.36,5.708,89.8,89,"LINESTRING (44.50896 40.18193, 44.50901 40.18198, 44.50952 40.1824, 44.50958 40.18246, 44.51011 40.18288, 44.5111 40.18369, 44.51119 40.18376, 44.51131 40.18387, 44.51228 40.18468, 44.51234 40.18473, 44.51245 40.18482, 44.51302 40.1853, 44.51307 40.18534, 44.51321 40.18546, 44.51337 40.18559, 44.51403 40.18615, 44.51482 40.18681, 44.51485 40.18683, 44.51488 40.18686, 44.51512 40.18706, 44.51519 40.18711, 44.51535 40.18723, 44.51561 40.18749, 44.51566 40.18754, 44.51598 40.18781, 44.51633 40.18811, 44.51647 40.18823, 44.51663 40.18837, 44.51738 40.189, 44.51751 40.1891, 44.51762 40.1892, 44.51791 40.18943, 44.51817 40.18965, 44.51868 40.19008, 44.51881 40.19019, 44.51903 40.19035, 44.51917 40.19043, 44.51934 40.19048, 44.51949 40.19048, 44.51966 40.19043, 44.51991 40.19035, 44.52003 40.19031, 44.52042 40.19016, 44.52062 40.19008, 44.52076 40.19003, 44.52102 40.18991, 44.52152 40.18967, 44.52195 40.18947, 44.52206 40.18941, 44.52222 40.18933, 44.52242 40.18923, 44.52255 40.18914, 44.52303 40.18883, 44.52381 40.18829, 44.52398 40.18817, 44.52412 40.18807, 44.52422 40.18816, 44.52453 40.18844, 44.52505 40.18888, 44.52572 40.18945, 44.52588 40.18959, 44.52642 40.19005, 44.52645 40.19008, 44.52651 40.19013, 44.52654 40.19016, 44.52758 40.19104, 44.52778 40.19122, 44.52788 40.19129, 44.52798 40.19136, 44.52803 40.19134, 44.52807 40.19134, 44.52812 40.19133, 44.52817 40.19133, 44.52822 40.19133, 44.52826 40.19134, 44.52831 40.19136, 44.52835 40.19137, 44.52839 40.19139, 44.52843 40.19142, 44.52846 40.19145, 44.52858 40.19136, 44.52875 40.19124, 44.52894 40.1911, 44.52896 40.19107, 44.52901 40.19102, 44.52906 40.19097, 44.52909 40.19093, 44.52914 40.19082, 44.52917 40.19071, 44.52918 40.19054, 44.52917 40.19037, 44.52894 40.19012, 44.52864 40.18979, 44.52807 40.18915, 44.52801 40.18909, 44.52781 40.1889, 44.52739 40.1885, 44.52717 40.18831, 44.52713 40.18827, 44.52638 40.18754, 44.5262 40.18727, 44.52612 40.18713, 44.52605 40.187, 44.52603 40.18687, 44.52604 40.18672, 44.52607 40.18659, 44.5261 40.18651, 44.52618 40.18637, 44.5264 40.18609, 44.52648 40.18599, 44.52664 40.18568, 44.52666 40.18556, 44.52664 40.18528, 44.52654 40.18488)",40.181932,44.508956,40.184882,44.526536,40.184027,44.511501,40.186141,44.514017,40.188268,44.516513,40.190365,44.519054,40.189273,44.522332,40.188851,44.525017,40.190983,44.527509,40.189835,44.52868,40.187567,44.526405
3,3.07,6.14,5.61,91.38,49,"LINESTRING (44.52654 40.18488, 44.52664 40.18528, 44.52666 40.18556, 44.52664 40.18568, 44.52648 40.18599, 44.5264 40.18609, 44.52618 40.18637, 44.5261 40.18651, 44.52607 40.18659, 44.52604 40.18672, 44.52603 40.18687, 44.52605 40.187, 44.52612 40.18713, 44.5262 40.18727, 44.52638 40.18754, 44.52713 40.18827, 44.52717 40.18831, 44.52739 40.1885, 44.52781 40.1889, 44.52801 40.18909, 44.52807 40.18915, 44.52864 40.18979, 44.52894 40.19012, 44.52917 40.19037, 44.52918 40.19054, 44.52917 40.19071, 44.52914 40.19082, 44.52909 40.19093, 44.52906 40.19097, 44.52901 40.19102, 44.52896 40.19107, 44.52894 40.1911, 44.52875 40.19124, 44.52858 40.19136, 44.52846 40.19145, 44.52849 40.19148, 44.52851 40.19151, 44.52853 40.19155, 44.52854 40.19159, 44.52854 40.19163, 44.52852 40.19173, 44.52849 40.19178, 44.52864 40.19176, 44.5291 40.19173, 44.52887 40.19181, 44.52873 40.19191, 44.52857 40.19203, 44.5285 40.19208, 44.52841 40.19214, 44.52831 40.19218, 44.52819 40.1922, 44.5281 40.1922, 44.52791 40.19217, 44.52768 40.19209, 44.52744 40.19202, 44.52728 40.19201, 44.52711 40.19204, 44.52687 40.19213, 44.52677 40.19216, 44.52661 40.19224, 44.5264 40.19236, 44.52626 40.19246, 44.52614 40.19275, 44.5261 40.19303, 44.52608 40.19334, 44.52606 40.1935, 44.52602 40.19357, 44.52596 40.19364, 44.52584 40.1937, 44.5257 40.19372, 44.52546 40.1937, 44.52502 40.19365, 44.52462 40.1936, 44.52391 40.1935, 44.52319 40.19335, 44.52248 40.19321, 44.52219 40.19316, 44.5219 40.19312, 44.52161 40.19312, 44.52132 40.19315, 44.52103 40.19318, 44.51966 40.19351, 44.51961 40.19352, 44.51891 40.19371, 44.51859 40.19381, 44.5183 40.19392, 44.51791 40.19407, 44.51704 40.19439, 44.51675 40.19451, 44.51663 40.19458, 44.51641 40.19478, 44.51631 40.19492, 44.51626 40.19506, 44.51623 40.19519, 44.51627 40.19545, 44.51656 40.1957, 44.5166 40.19573, 44.51667 40.1958, 44.51676 40.19588, 44.51685 40.19597, 44.51703 40.19616, 44.51707 40.1962, 44.51773 40.19689, 44.51774 40.1969, 44.51956 40.19882, 44.51957 40.19883, 44.51959 40.19885, 44.51983 40.19911, 44.52013 40.19943, 44.52016 40.19946, 44.52026 40.19957, 44.52066 40.19998, 44.52155 40.20092, 44.52167 40.20104)",40.184882,44.526536,40.201044,44.521668,40.187484,44.52634,40.189674,44.528535,40.191748,44.52886,40.19254,44.526228,40.193499,44.523883,40.193338,44.520375,40.194391,44.517049,40.196572,44.517424,40.198807,44.519548
4,3.191,6.38,5.719,89.62,79,"LINESTRING (44.52654 40.18488, 44.52653 40.18485, 44.52647 40.18467, 44.52639 40.18449, 44.52608 40.18396, 44.5258 40.18349, 44.52563 40.18326, 44.52539 40.18306, 44.5251 40.1829, 44.52477 40.18277, 44.52463 40.18269, 44.52449 40.18258, 44.52426 40.18238, 44.52418 40.18223, 44.52413 40.18211, 44.52408 40.18199, 44.52406 40.18189, 44.52392 40.1807, 44.52384 40.18035, 44.52381 40.18024, 44.52347 40.17958, 44.52334 40.1792, 44.52313 40.17875, 44.52291 40.17835, 44.52283 40.17817, 44.52275 40.17803, 44.52251 40.17757, 44.52241 40.17743, 44.52208 40.17692, 44.52179 40.17654, 44.52174 40.17647, 44.5215 40.17619, 44.52135 40.17604, 44.52102 40.17571, 44.52091 40.17561, 44.52073 40.17545, 44.52067 40.1754, 44.52061 40.17534, 44.52026 40.17504, 44.52014 40.17496, 44.51999 40.17486, 44.51947 40.17451, 44.5192 40.17436, 44.51888 40.17422, 44.51852 40.17409, 44.51819 40.17398, 44.51772 40.17386, 44.51766 40.17384, 44.51749 40.1738, 44.517 40.1737, 44.5168 40.17367, 44.51658 40.17363, 44.51646 40.17361, 44.51611 40.17356, 44.51608 40.17356, 44.51601 40.17354, 44.51548 40.17347, 44.51514 40.17344, 44.51492 40.17343, 44.51417 40.17342, 44.51386 40.17337, 44.51365 40.17333, 44.51347 40.17328, 44.51315 40.17315, 44.51161 40.17246, 44.51146 40.1724, 44.51112 40.17225, 44.5108 40.17211, 44.5105 40.17199, 44.51024 40.17187, 44.50996 40.17175, 44.50988 40.17172, 44.50939 40.17151, 44.50912 40.17139, 44.50899 40.17134, 44.50895 40.17132, 44.50879 40.17129, 44.50863 40.17128, 44.50847 40.17131, 44.50831 40.17138, 44.50824 40.17145, 44.50809 40.17164, 44.5079 40.17187, 44.50774 40.17208, 44.50759 40.17225, 44.50706 40.17292, 44.50668 40.1734, 44.50642 40.17372, 44.50639 40.17377, 44.50616 40.17405, 44.50603 40.17421, 44.50599 40.17426, 44.50597 40.17429, 44.50589 40.17439, 44.50575 40.17456, 44.50563 40.1747, 44.50549 40.17486, 44.50535 40.17503, 44.50518 40.17523, 44.50464 40.17589, 44.50457 40.17596, 44.50451 40.17603, 44.5043 40.17628, 44.50397 40.17669, 44.50366 40.17706, 44.50364 40.17709, 44.50344 40.17736, 44.50336 40.17744, 44.50322 40.17761)",40.184882,44.526536,40.177608,44.503218,40.182589,44.5245,40.17985,44.523608,40.177177,44.522249,40.174886,44.520021,40.173649,44.516703,40.173107,44.513063,40.171688,44.509804,40.172741,44.507204,40.175181,44.505224
5,3.319,6.64,5.832,87.87,53,"LINESTRING (44.46062 40.18324, 44.4606 40.18316, 44.46038 40.18252, 44.46011 40.18173, 44.45988 40.18103, 44.45972 40.18056, 44.45969 40.18049, 44.4595 40.1799, 44.45939 40.1796, 44.45926 40.1792, 44.45915 40.17886, 44.45887 40.17805, 44.45884 40.17794, 44.45879 40.1778, 44.45876 40.17773, 44.45828 40.17634, 44.4582 40.17609, 44.45794 40.17533, 44.45787 40.17512, 44.4578 40.1749, 44.45766 40.17447, 44.45765 40.17436, 44.45757 40.17413, 44.45751 40.17395, 44.45737 40.17398, 44.45726 40.174, 44.45719 40.17401, 44.45452 40.17453, 44.45379 40.17462, 44.45287 40.17468, 44.45274 40.17469, 44.45265 40.17464, 44.4526 40.17462, 44.45252 40.17462, 44.45247 40.17462, 44.45237 40.17462, 44.45168 40.17462, 44.45139 40.1746, 44.4507 40.17454, 44.44995 40.17446, 44.44989 40.17445, 44.44958 40.17441, 44.4481 40.17424, 44.447 40.17411, 44.44675 40.17408, 44.44646 40.17405, 44.44637 40.17404, 44.44621 40.17401, 44.44617 40.17395, 44.4461 40.1739, 44.44602 40.17386, 44.44594 40.17384, 44.44584 40.17383, 44.44575 40.17384, 44.44567 40.17387, 44.44561 40.17391, 44.44556 40.17395, 44.44524 40.17393, 44.44495 40.1739, 44.44396 40.17381, 44.4439 40.17381, 44.44335 40.17375, 44.44311 40.17372, 44.44271 40.17368, 44.44253 40.17366, 44.44168 40.17356, 44.44165 40.17356, 44.44072 40.17346, 44.44016 40.17339, 44.44013 40.17339, 44.43958 40.17334, 44.4384 40.17321, 44.43817 40.17318, 44.43797 40.17317, 44.43795 40.17316, 44.43793 40.17315, 44.43791 40.17315, 44.43788 40.17315, 44.43785 40.17315, 44.43783 40.17316, 44.43781 40.17318, 44.43779 40.17319, 44.43778 40.17321, 44.43768 40.17308, 44.43762 40.17303, 44.43755 40.17291, 44.43746 40.17277, 44.43725 40.17246, 44.43712 40.17224, 44.43709 40.17218, 44.437 40.17202, 44.43695 40.17193, 44.43691 40.17183, 44.4369 40.1718, 44.43684 40.17162, 44.43683 40.17158, 44.43681 40.17153, 44.4368 40.17148, 44.43681 40.17144, 44.43693 40.17118, 44.43702 40.17098, 44.43706 40.1709, 44.43716 40.17067, 44.43724 40.17052, 44.4373 40.1704, 44.43742 40.17017, 44.43754 40.16989, 44.43759 40.16979, 44.43779 40.1696, 44.43767 40.16993, 44.43762 40.17004, 44.43752 40.17025, 44.43741 40.17044)",40.183237,44.460624,40.170442,44.43741,40.180344,44.459645,40.17745,44.458667,40.174556,44.457684,40.174531,44.454518,40.174537,44.450664,40.174089,44.44681,40.173719,44.443086,40.173297,44.439228,40.171541,44.436813
6,3.112,6.22,5.648,90.75,34,"LINESTRING (44.5974 40.188, 44.59733 40.18802, 44.59712 40.18806, 44.59682 40.18813, 44.59661 40.18818, 44.59646 40.18821, 44.59624 40.18826, 44.59583 40.18835, 44.59572 40.18838, 44.59553 40.18842, 44.59543 40.18844, 44.59526 40.18848, 44.59512 40.18851, 44.59397 40.18877, 44.59389 40.18879, 44.5929 40.18901, 44.59227 40.18915, 44.5922 40.18917, 44.59128 40.18938, 44.59115 40.1894, 44.59102 40.18943, 44.59031 40.18959, 44.59022 40.18962, 44.5898 40.18968, 44.58952 40.18973, 44.58931 40.18976, 44.58883 40.18981, 44.58837 40.18981, 44.5882 40.18979, 44.58807 40.18977, 44.5876 40.18969, 44.58719 40.1896, 44.58685 40.1895, 44.58676 40.18947, 44.58671 40.18945, 44.5851 40.18874, 44.58235 40.18746, 44.58214 40.18736, 44.5816 40.18711, 44.58106 40.18687, 44.57894 40.18591, 44.57887 40.18588, 44.57884 40.18587, 44.57875 40.18583, 44.57757 40.18527, 44.57744 40.18521, 44.5773 40.18515, 44.57714 40.18509, 44.57673 40.18495, 44.57626 40.18482, 44.57592 40.18474, 44.57553 40.18468, 44.57518 40.18464, 44.5748 40.18462, 44.57427 40.18462, 44.57384 40.18466, 44.57334 40.18475, 44.57314 40.18478, 44.57268 40.18489, 44.57232 40.185, 44.57208 40.18508, 44.57165 40.18524, 44.57117 40.18551, 44.57067 40.18585, 44.57028 40.18612, 44.5699 40.18643, 44.56873 40.18745, 44.56857 40.18765, 44.56844 40.18782, 44.56824 40.18816, 44.56816 40.18834, 44.56807 40.18845, 44.56801 40.1885, 44.56795 40.18853, 44.56789 40.18855, 44.56781 40.18856, 44.56775 40.18856, 44.56769 40.18854, 44.56766 40.18852, 44.56759 40.18848, 44.56739 40.18844, 44.56727 40.18842, 44.56716 40.18841, 44.56695 40.18847, 44.56664 40.18856, 44.56642 40.18859, 44.56634 40.18859, 44.56624 40.1886, 44.56614 40.18859, 44.56603 40.18858, 44.56581 40.18852, 44.56572 40.1885, 44.56562 40.18846, 44.56552 40.18842, 44.56547 40.1884, 44.56528 40.18829)",40.188,44.597404,40.188285,44.565278,40.188786,44.593896,40.189577,44.590389,40.189495,44.586822,40.188076,44.58367,40.186636,44.580535,40.185196,44.577399,40.184654,44.573878,40.185863,44.570648,40.188009,44.568332
7,3.153,6.31,5.685,90.15,66,"LINESTRING (44.5262 40.20561, 44.52617 40.20565, 44.5259 40.20579, 44.52584 40.2058, 44.52575 40.20585, 44.52571 40.20587, 44.52511 40.20622, 44.52505 40.20623, 44.52496 40.20625, 44.52481 40.20625, 44.52472 40.20622, 44.52398 40.20627, 44.52384 40.20628, 44.52334 40.2063, 44.52306 40.20632, 44.52297 40.20633, 44.52281 40.20634, 44.52135 40.20642, 44.52053 40.20647, 44.5205 40.20647, 44.5203 40.20648, 44.52024 40.20648, 44.52007 40.20649, 44.51938 40.20653, 44.51884 40.20656, 44.51779 40.20662, 44.51647 40.20669, 44.51621 40.2067, 44.51585 40.20672, 44.51515 40.20676, 44.5147 40.20679, 44.51411 40.20682, 44.51406 40.20682, 44.51383 40.20684, 44.51378 40.20684, 44.51361 40.20685, 44.51345 40.20686, 44.51289 40.20689, 44.5117 40.20695, 44.51073 40.207, 44.51067 40.20701, 44.51049 40.20702, 44.51031 40.20703, 44.51023 40.20703, 44.50948 40.20706, 44.5093 40.20707, 44.50912 40.20706, 44.509 40.20704, 44.50882 40.207, 44.50864 40.20694, 44.50844 40.20685, 44.508 40.20667, 44.50754 40.20648, 44.50665 40.20612, 44.50593 40.20583, 44.50538 40.2056, 44.50509 40.20548, 44.5044 40.2052, 44.5035 40.20485, 44.50328 40.20476, 44.50244 40.20442, 44.50237 40.2044, 44.50218 40.20432, 44.50201 40.20425, 44.50162 40.20409, 44.5016 40.20408, 44.50049 40.20363, 44.49915 40.20308, 44.49893 40.203, 44.49884 40.20296, 44.4987 40.2029, 44.49863 40.20287, 44.49845 40.2028, 44.49808 40.20265, 44.4975 40.20241, 44.49688 40.20215, 44.49604 40.2018, 44.49562 40.20165, 44.49553 40.20162, 44.49513 40.20144, 44.49508 40.20142, 44.49468 40.20123, 44.49459 40.20118, 44.49453 40.20114, 44.49446 40.20108, 44.49441 40.20101, 44.49434 40.20092, 44.49421 40.20065, 44.49417 40.20058, 44.49414 40.20052, 44.49408 40.2004, 44.49393 40.2001, 44.49378 40.19981, 44.49344 40.19913, 44.49343 40.19911, 44.49335 40.19893)",40.20561,44.526204,40.198927,44.493348,40.206338,44.52278,40.206548,44.519085,40.206749,44.51539,40.206949,44.511694,40.206713,44.508098,40.205376,44.504829,40.20406,44.501546,40.202726,44.498275,40.201386,44.49501
8,3.346,6.69,5.856,87.51,76,"LINESTRING (44.50816 40.17134, 44.50832 40.17128, 44.5084 40.17125, 44.50846 40.17123, 44.5085 40.17122, 44.50866 40.17119, 44.50872 40.17118, 44.5088 40.17117, 44.50892 40.17118, 44.50901 40.17123, 44.50906 40.17126, 44.50909 40.17128, 44.50925 40.17135, 44.50976 40.17157, 44.51059 40.17193, 44.51151 40.17234, 44.51167 40.17241, 44.51172 40.17243, 44.51321 40.17309, 44.51346 40.17319, 44.51364 40.17325, 44.51387 40.1733, 44.51416 40.17333, 44.51461 40.17334, 44.51496 40.17336, 44.51523 40.17338, 44.5155 40.17341, 44.51637 40.17352, 44.51659 40.17355, 44.51702 40.17362, 44.51768 40.17377, 44.51822 40.1739, 44.51833 40.17394, 44.51848 40.17399, 44.51884 40.17412, 44.51927 40.1743, 44.51936 40.17435, 44.51957 40.17447, 44.51992 40.17467, 44.52017 40.17484, 44.5208 40.17539, 44.52109 40.17566, 44.52143 40.17598, 44.52159 40.17617, 44.52182 40.17645, 44.52211 40.17681, 44.52226 40.17701, 44.52254 40.1774, 44.52263 40.17755, 44.52303 40.17831, 44.52309 40.17841, 44.52339 40.17887, 44.5235 40.17906, 44.52368 40.17952, 44.52383 40.17993, 44.52392 40.18034, 44.52392 40.1807, 44.52406 40.18189, 44.52408 40.18199, 44.52413 40.18211, 44.52418 40.18223, 44.52426 40.18238, 44.52449 40.18258, 44.52463 40.18269, 44.52477 40.18277, 44.5251 40.1829, 44.52539 40.18306, 44.52563 40.18326, 44.5258 40.18349, 44.52608 40.18396, 44.52639 40.18449, 44.52647 40.18467, 44.52653 40.18485, 44.52654 40.18488, 44.52664 40.18528, 44.52666 40.18556, 44.52668 40.18569, 44.52666 40.1858, 44.52661 40.18589, 44.52652 40.18604, 44.52637 40.18622, 44.52625 40.18639, 44.52616 40.18653, 44.52613 40.18673, 44.52612 40.18687, 44.52616 40.18701, 44.52621 40.18711, 44.52628 40.18722, 44.52638 40.18733, 44.5265 40.18746, 44.52693 40.18792, 44.52711 40.18809, 44.52813 40.18909, 44.52893 40.18995, 44.52935 40.19038, 44.5295 40.19055, 44.52964 40.1907, 44.52998 40.19106, 44.53033 40.19139, 44.5306 40.19161, 44.53069 40.19166, 44.53094 40.19172, 44.53098 40.19171, 44.53108 40.1917, 44.53121 40.19164)",40.171338,44.508158,40.191638,44.531206,40.172384,44.511622,40.173379,44.515242,40.174191,44.519003,40.176325,44.521722,40.179015,44.523477,40.181979,44.524083,40.184349,44.526305,40.187207,44.526269,40.189618,44.528626
9,3.118,6.24,5.654,90.66,47,"LINESTRING (44.49775 40.14017, 44.49746 40.14038, 44.49571 40.1417, 44.49562 40.14174, 44.49546 40.14179, 44.49538 40.14178, 44.4953 40.14178, 44.49521 40.14181, 44.49514 40.14184, 44.49508 40.14189, 44.49504 40.14195, 44.49499 40.14185, 44.49492 40.14178, 44.4949 40.14177, 44.49468 40.14159, 44.49419 40.14119, 44.49386 40.14092, 44.49364 40.14073, 44.49287 40.1401, 44.49251 40.13981, 44.49239 40.13971, 44.4917 40.13914, 44.49153 40.13894, 44.49124 40.13852, 44.49115 40.13839, 44.49106 40.13824, 44.49094 40.13804, 44.49075 40.13775, 44.49064 40.13757, 44.49042 40.13721, 44.49038 40.13716, 44.49024 40.13693, 44.49004 40.13663, 44.48998 40.13652, 44.48977 40.1362, 44.48902 40.13502, 44.48896 40.13493, 44.48889 40.13487, 44.4888 40.13479, 44.48863 40.13468, 44.48855 40.13463, 44.48729 40.13383, 44.48652 40.13334, 44.48636 40.13324, 44.486 40.13302, 44.48581 40.1329, 44.48564 40.13279, 44.4835 40.13146, 44.48308 40.1312, 44.48293 40.13111, 44.48287 40.13107, 44.48238 40.13076, 44.48203 40.13054, 44.4818 40.1304, 44.48165 40.13034, 44.48148 40.13031, 44.48136 40.13036, 44.4812 40.13038, 44.48106 40.13036, 44.4809 40.13028, 44.48078 40.13016, 44.48074 40.13028, 44.48065 40.1304, 44.48058 40.13046, 44.48014 40.1308, 44.47999 40.13092, 44.47981 40.13106, 44.47849 40.13209, 44.47748 40.13287, 44.47539 40.13447, 44.47359 40.13585, 44.47284 40.13642)",40.140174,44.497747,40.136425,44.47284,40.141939,44.495035,40.139865,44.492579,40.137525,44.490614,40.135002,44.489005,40.133169,44.486247,40.131402,44.483402,40.130453,44.480587,40.132452,44.478016,40.134438,44.475428
10,3.019,6.04,5.563,92.14,34,"LINESTRING (44.53177 40.1923, 44.53214 40.19244, 44.5329 40.19264, 44.53317 40.19272, 44.53334 40.19279, 44.53353 40.19287, 44.53379 40.19301, 44.53397 40.19312, 44.5342 40.1933, 44.53424 40.19334, 44.5349 40.19389, 44.5357 40.19456, 44.53584 40.19468, 44.53596 40.19477, 44.53615 40.1949, 44.53631 40.19499, 44.53658 40.1951, 44.5368 40.19518, 44.53699 40.19523, 44.53725 40.19527, 44.5375 40.19529, 44.53768 40.19529, 44.53782 40.19528, 44.53804 40.19526, 44.53841 40.19518, 44.54086 40.1947, 44.54143 40.19461, 44.5418 40.19456, 44.54215 40.19453, 44.54251 40.19453, 44.54268 40.19453, 44.5429 40.19452, 44.54324 40.19454, 44.54345 40.19455, 44.54362 40.19457, 44.54396 40.19461, 44.54432 40.19467, 44.54481 40.19481, 44.54506 40.19488, 44.54557 40.19503, 44.54618 40.19522, 44.54644 40.19534, 44.54666 40.19544, 44.54701 40.19564, 44.5472 40.19575, 44.54731 40.19582, 44.54758 40.19599, 44.54789 40.19621, 44.5483 40.19649, 44.54837 40.19654, 44.54959 40.19742, 44.55056 40.19821, 44.55153 40.19904, 44.55231 40.19971, 44.55298 40.20027, 44.55406 40.20122, 44.55499 40.20217, 44.55504 40.20222, 44.55546 40.20266, 44.55603 40.20326, 44.55609 40.20332, 44.55622 40.20346, 44.55636 40.20361, 44.55699 40.20425, 44.55759 40.20487, 44.55817 40.20545, 44.55873 40.20604, 44.55898 40.20632)",40.192302,44.531774,40.206317,44.558982,40.193728,44.534713,40.195288,44.537481,40.194689,44.540932,40.194706,44.544437,40.19597,44.547539,40.197843,44.550109,40.199858,44.552491,40.201942,44.554766,40.204131,44.556872
