"route_id","length_km","pop_covered","penalty","route_wkt","start_lat","start_lon","end_lat","end_lon","wp1_lat","wp1_lon","wp2_lat","wp2_lon","wp3_lat","wp3_lon","wp4_lat","wp4_lon","wp5_lat","wp5_lon","wp6_lat","wp6_lon","wp7_lat","wp7_lon","wp8_lat","wp8_lon","wp9_lat","wp9_lon"
1,0.585,16,3.3021,"LINESTRING (44.52294 40.15245, 44.52301 40.15318, 44.52304 40.15343, 44.52315 40.15439, 44.52301 40.15441, 44.52264 40.15443, 44.5226 40.15443, 44.52235 40.15445, 44.52153 40.15449, 44.5208 40.15453, 44.52027 40.15456, 44.51983 40.15459, 44.51884 40.15465)",40.152447,44.522942,40.154646,44.51884,40.152972,44.522993,40.153498,44.523045,40.154022,44.523106,40.154409,44.522947,40.154451,44.522263,40.154491,44.521578,40.154528,44.520894,40.154566,44.520209,40.154607,44.519524
2,0.941,24,3.6359,"LINESTRING (44.52654 40.18488, 44.52664 40.18528, 44.52666 40.18556, 44.52668 40.18569, 44.52666 40.1858, 44.52661 40.18589, 44.52652 40.18604, 44.52637 40.18622, 44.52625 40.18639, 44.52616 40.18653, 44.52613 40.18673, 44.52612 40.18687, 44.52616 40.18701, 44.52621 40.18711, 44.52628 40.18722, 44.52638 40.18733, 44.5265 40.18746, 44.52693 40.18792, 44.52711 40.18809, 44.52813 40.18909, 44.52893 40.18995, 44.52935 40.19038, 44.5295 40.19055, 44.52964 40.1907, 44.52998 40.19106, 44.53033 40.19139, 44.5306 40.19161, 44.53069 40.19166, 44.53094 40.19172, 44.53098 40.19171, 44.53108 40.1917, 44.53121 40.19164)",40.184882,44.526536,40.191638,44.531206,40.185721,44.526671,40.186478,44.526191,40.187284,44.526335,40.18797,44.526985,40.188638,44.527667,40.189312,44.528338,40.19,44.528985,40.190688,44.529631,40.191363,44.5303
3,1.011,24,3.7122,"LINESTRING (44.52654 40.18488, 44.52664 40.18528, 44.52666 40.18556, 44.52668 40.18569, 44.52666 40.1858, 44.52661 40.18589, 44.52652 40.18604, 44.52637 40.18622, 44.52625 40.18639, 44.52616 40.18653, 44.52613 40.18673, 44.52612 40.18687, 44.52616 40.18701, 44.52621 40.18711, 44.52628 40.18722, 44.52638 40.18733, 44.5265 40.18746, 44.52693 40.18792, 44.52711 40.18809, 44.52813 40.18909, 44.52893 40.18995, 44.52935 40.19038, 44.5295 40.19055, 44.52964 40.1907, 44.52998 40.19106, 44.53033 40.19139, 44.5306 40.19161, 44.53069 40.19166, 44.5311 40.19194, 44.53143 40.19215, 44.53177 40.1923)",40.184882,44.526536,40.192302,44.531774,40.185783,44.526659,40.186598,44.526149,40.187438,44.526478,40.188168,44.527187,40.188885,44.52792,40.189618,44.528625,40.190356,44.529322,40.191094,44.530017,40.191758,44.530826
4,0.591,12,3.3063,"LINESTRING (44.52381 40.18024, 44.52384 40.18035, 44.52392 40.1807, 44.52406 40.18189, 44.52408 40.18199, 44.52413 40.18211, 44.52418 40.18223, 44.52426 40.18238, 44.52449 40.18258, 44.52463 40.18269, 44.52477 40.18277, 44.5251 40.1829, 44.52539 40.18306, 44.52563 40.18326, 44.5258 40.18349, 44.52608 40.18396, 44.52639 40.18449, 44.52647 40.18467, 44.52653 40.18485, 44.52654 40.18488)",40.180243,44.523809,40.184882,44.526536,40.180767,44.523931,40.181297,44.523994,40.181828,44.524057,40.182339,44.52424,40.182731,44.524702,40.183011,44.525291,40.183408,44.525741,40.183889,44.526039,40.184376,44.526321
5,0.673,13,3.3677,"LINESTRING (44.52368 40.17952, 44.52383 40.17993, 44.52392 40.18034, 44.52392 40.1807, 44.52406 40.18189, 44.52408 40.18199, 44.52413 40.18211, 44.52418 40.18223, 44.52426 40.18238, 44.52449 40.18258, 44.52463 40.18269, 44.52477 40.18277, 44.5251 40.1829, 44.52539 40.18306, 44.52563 40.18326, 44.5258 40.18349, 44.52608 40.18396, 44.52639 40.18449, 44.52647 40.18467, 44.52653 40.18485, 44.52654 40.18488)",40.179524,44.523682,40.184882,44.526536,40.180113,44.523867,40.180715,44.523925,40.181319,44.523997,40.181922,44.524071,40.182473,44.524366,40.182854,44.524971,40.183224,44.525589,40.183756,44.52596,40.184309,44.526282
6,0.89,18,3.5807,"LINESTRING (44.49335 40.19893, 44.49316 40.19851, 44.49307 40.1983, 44.49305 40.19824, 44.49303 40.19817, 44.49303 40.19811, 44.49303 40.19803, 44.49304 40.19798, 44.49304 40.19792, 44.49307 40.19781, 44.49313 40.19756, 44.49317 40.19743, 44.49338 40.19691, 44.49344 40.19676, 44.49349 40.19667, 44.49373 40.19639, 44.49393 40.19619, 44.49414 40.19603, 44.49433 40.19588, 44.49458 40.19572, 44.49502 40.19544, 44.49554 40.19511, 44.49568 40.19503, 44.49731 40.194, 44.49832 40.19337, 44.49902 40.19293)",40.198927,44.493348,40.192932,44.49902,40.198164,44.493032,40.197374,44.49319,40.196619,44.493532,40.195993,44.49418,40.195472,44.494975,40.194962,44.495781,40.194454,44.49659,40.193945,44.497399,40.193439,44.498209
7,0.971,21,3.668,"LINESTRING (44.52598 40.19244, 44.52604 40.19239, 44.52611 40.19238, 44.52615 40.1924, 44.52616 40.19244, 44.52614 40.19255, 44.52614 40.19275, 44.52626 40.19246, 44.5264 40.19236, 44.52661 40.19224, 44.52677 40.19216, 44.52687 40.19213, 44.52711 40.19204, 44.52728 40.19201, 44.52744 40.19202, 44.52768 40.19209, 44.52791 40.19217, 44.5281 40.1922, 44.52819 40.1922, 44.52831 40.19218, 44.52841 40.19214, 44.5285 40.19208, 44.52857 40.19203, 44.52873 40.19191, 44.52887 40.19181, 44.5291 40.19173, 44.52864 40.19176, 44.52849 40.19178, 44.52852 40.19173, 44.52854 40.19163, 44.52854 40.19159, 44.52876 40.19162, 44.52898 40.19164, 44.52928 40.19166, 44.53022 40.19172, 44.53037 40.19173, 44.53047 40.19175, 44.53059 40.19178, 44.53077 40.19185, 44.53103 40.19202, 44.53134 40.19221, 44.53157 40.19232, 44.53189 40.19242, 44.53214 40.19244, 44.53177 40.1923, 44.53143 40.19215, 44.5311 40.19194, 44.53069 40.19166, 44.53094 40.19172, 44.53098 40.19171, 44.53108 40.1917, 44.53121 40.19164)",40.192437,44.525981,40.191638,44.531206,40.192414,44.526324,40.19201,44.527315,40.192144,44.528398,40.191749,44.528849,40.191643,44.529048,40.191719,44.530185,40.192106,44.531175,40.192425,44.532094,40.191963,44.531131
8,0.667,10,3.3631,"LINESTRING (44.46744 40.14069, 44.46738 40.14064, 44.46748 40.14056, 44.46757 40.14049, 44.46776 40.14035, 44.46793 40.14021, 44.46813 40.14006, 44.46842 40.13983, 44.46886 40.13948, 44.46958 40.13893, 44.47043 40.13828, 44.47105 40.1378, 44.47156 40.13741, 44.4726 40.13661, 44.47284 40.13642)",40.140686,44.467439,40.136425,44.47284,40.140259,44.467869,40.13983,44.468418,40.139402,44.468968,40.138977,44.469521,40.138552,44.470074,40.138126,44.470627,40.137701,44.471181,40.137276,44.471734,40.13685,44.472287
9,0.643,17,3.3438,"LINESTRING (44.52167 40.20104, 44.5226 40.20203, 44.52278 40.20222, 44.52284 40.20229, 44.523 40.20245, 44.5234 40.20288, 44.52362 40.20313, 44.52374 40.20325, 44.52406 40.20358, 44.52439 40.20393, 44.52446 40.204, 44.52464 40.20407, 44.52515 40.20459, 44.52584 40.20533, 44.52587 40.20536, 44.52596 40.20544, 44.52602 40.20543, 44.52606 40.20543, 44.52607 40.20544, 44.52609 40.20545, 44.52614 40.2055, 44.52619 40.20556, 44.5262 40.20559, 44.5262 40.20561)",40.201044,44.521668,40.20561,44.526204,40.201513,44.522111,40.201983,44.522555,40.202453,44.522997,40.202924,44.523437,40.203394,44.523878,40.203861,44.524326,40.204274,44.524838,40.20474,44.525288,40.205211,44.525728
10,0.579,7,3.2983,"LINESTRING (44.56528 40.18829, 44.56547 40.1884, 44.56552 40.18842, 44.56562 40.18846, 44.56572 40.1885, 44.56581 40.18852, 44.56603 40.18858, 44.56614 40.18859, 44.56624 40.1886, 44.56634 40.18859, 44.56642 40.18859, 44.56664 40.18856, 44.56695 40.18847, 44.56716 40.18841, 44.56727 40.18842, 44.56739 40.18844, 44.56759 40.18848, 44.56753 40.18843, 44.56751 40.18838, 44.56751 40.18834, 44.56752 40.18827, 44.56756 40.18821, 44.5676 40.18815, 44.56772 40.18805, 44.56784 40.18795, 44.56894 40.18701, 44.5702 40.18597)",40.188285,44.565278,40.18597,44.570202,40.188539,44.565866,40.188573,44.566534,40.188412,44.567177,40.188307,44.567512,40.187896,44.567911,40.187508,44.568365,40.18712,44.568819,40.186736,44.569279,40.186353,44.56974
